a,b,c,d,error
0.9955819582036018,0.4480964051476401,1.048243976833986,0.19603257207134225,0.25750624099493724
0.7589660344868936,-0.07138313910606475,1.0091345766683335,0.1389261911880084,0.3268245919540456
0.8109974955367252,-0.040031874298154246,0.993863141937942,0.1253834546926948,0.24658076911812424
0.8389497195964266,0.001550364239034152,0.9740828658388985,0.11251923980099063,0.17485725194247526
0.8829773248490902,0.037145997854447665,0.9576336036214219,0.10437665670607621,0.10046651904866699
0.9282485119954165,0.0781747889290011,0.947875866440038,0.10051875190138757,0.029740304702645208
0.9789434404248104,0.1145230776833831,0.9226449762603501,0.09342459486406418,0.06012206786658384
1.035710775267133,0.12488956041883104,0.9097121395228098,0.09126607089844554,0.13040780366587776
1.0863059232324612,0.1381204854937016,0.8966530880430357,0.09009046534905601,0.1956401817891265
1.1387430859115515,0.15663955166369603,0.8704499955231682,0.09057943440023597,0.27630620956288937
1.206478527459065,0.17996381670063022,0.8497191978812242,0.09376573419876746,0.3670249700876337
0.5418999615446657,0.22407083004545447,0.8148653610441259,0.10512131547443931,0.29775677379461923
0.9078274740887292,-0.08045148011505165,0.6020005456388894,0.10453463765447663,0.35742128354716823
0.8415611697534837,-0.12536618313482356,0.5689090201472429,0.08395653477722378,0.3437371014583536
0.8256346729614343,-0.1376355108384274,0.4944048028550578,0.0376278089041322,0.37474052102470823
0.10159940903045217,-0.08935867489932814,0.08876736517711181,-0.2145982660488284,0.12589526019969152
0.04141731130155624,-0.12513501990376236,0.022552784339436777,-0.25576590848626224,0.1319859819426216
-0.026006753481578715,-0.1682047205860062,-0.06023636222858862,-0.3072396755389932,0.14318653852144236
-0.09567217032666325,-0.20768626651661967,-0.10163635196604993,-0.33298215806693243,0.12543776106904703
-0.14497702495672515,-0.24200227153507153,-0.14303258719988626,-0.35871719930644314,0.1167311235398114
-0.19609200085871106,-0.2734238257562026,-0.2009855373411668,-0.3947479332756545,0.12142275637085762
-0.23811977660627948,-0.3005274245130891,-0.26720878859277464,-0.4359209828071994,0.13848316231907434
-0.2976175772848815,-0.33740735251658693,-0.32517099836865815,-0.4719580227283968,0.13734290614322653
-0.27859317355756297,-0.7874949909477753,-0.549544109419554,-0.7868898033168529,0.27095161172533627
-0.32377969977120696,-0.7768091850795522,-0.5288372891491064,-0.790482947830377,0.20551298438113605
-0.36933007954077063,-0.7911487361166355,-0.5131026279322328,-0.7915793763076663,0.14377319333571703
-0.4114478718766631,-0.7901598528334547,-0.496512473780998,-0.813180911768074,0.08812465972481366
-0.44110455989921304,-0.8121721836233352,-0.4720169632744566,-0.8599868875379861,0.056937005478682336
-0.4635322489535494,-0.8761734208825591,-0.4519718638473379,-0.8919481719102016,0.019557230729017435
-0.4813313419237646,-0.9112350214778813,-0.4058896668940513,-0.9516441019279388,0.08558235866174807
-0.48518651179372574,-0.9756269663965443,-0.39059594006913123,-0.9683356628011069,0.09487117247776848
-0.49045581087801404,-1.0216247038449524,-0.34098824336177497,-1.0146741987979306,0.14962908560714444
-0.4936476225931768,-1.046279075000682,-0.29262841747570584,-1.0507731969828593,0.20106943566452498
-0.04635783156990769,-0.8141701330946374,-0.13464168992174894,-1.1238588000930996,0.32202656740208935
-0.026323138063688523,-0.9022608827319979,-0.06850905081666607,-1.1391450949420485,0.2406112657985451
-0.0033715155604723823,-0.9788859560442903,-0.023617278595646052,-1.1450160854510605,0.1673592268671991
0.012562296720053656,-1.0378518391187856,0.044228317743829085,-1.147241041921272,0.11388035202457739
0.055165851713666114,-1.0966103961916933,0.08939276058298203,-1.1443298084631768,0.05872498274400992
0.10614849985417263,-1.1395740464531448,0.14162040209898968,-1.1365044293415378,0.035604471602282306
0.1615191362127621,-1.1730393322172314,0.1856640676017969,-1.1260470797715432,0.05283227708229596
0.22000280734684347,-1.201005304422749,0.2706970643942336,-1.0949887353703103,0.11751349118819249
0.2703182581655888,-1.2090909754588322,0.2911464950485866,-1.0851572619970131,0.1256717183143866
0.2620056334015761,-1.223612598059082,0.349877011503379,-1.0511207526863986,0.1935841310892598
0.8728409568818829,-0.9616644554411805,0.607935297409767,-0.6267143421220583,0.4270440104167829
