a,b,c,d,e,f,phi,error
-0.0038124370909203044,-1.2919812144465286,-96.9244613647461,0.0988537713949281,-1.2735709823811903,-96.46996819812753,-48.42091369628906,0.10430382068533875
0.07219609580976077,-1.9259193878479886,-155.5443115234375,0.05636125923809384,-2.0241584000259443,-162.87737759482758,28.311115264892578,0.09950701263203479
0.05130326002889404,-1.9526249658772676,-162.246337890625,0.008277332516432938,-2.0390018406090684,-166.94196879492614,22.66828155517578,0.09649971464590329
0.006421885513586023,-1.9700920975705296,-167.32948303222656,-0.06769254994623916,-2.056632829048035,-166.94148160440338,18.397899627685547,0.11393966714094923
-0.0434701026615926,-1.9636410052539375,-167.0982666015625,-0.1341745739153816,-2.072057355668731,-166.94135330907017,18.388742446899414,0.14135560173793157
-0.4467000309631324,-2.267629818956989,-168.24346923828125,-0.4238384385297037,-2.1401601370067564,-168.38444463820673,42.07987976074219,0.12950356066566507
-0.4626152610996155,-2.236698268534837,-168.61944580078125,-0.48523678761959677,-2.154483906721958,-175.98085283516315,39.785316467285156,0.0852697763008279
-0.5146650951253566,-2.1950889606508297,-175.32656860351562,-0.5269874202985266,-2.1594656888674466,178.95542156158936,29.389429092407227,0.03769425938025732
-0.5374455793826252,-2.1658690157188643,-180.0,-0.5900363090890263,-2.1599953576151356,171.35912415250291,20.665578842163086,0.052917716414932696
-0.5915456921880549,-2.1633769385484727,172.27613830566406,-0.6387920777968665,-2.1546360783379046,165.45122827457408,11.268816947937012,0.04804813826067789
-0.64902159091134,-2.15607259822467,165.7674560546875,-0.7002154087626373,-2.1404284449214526,157.85520145046746,2.590592861175537,0.0535307997209678
-0.7118229382991046,-2.1552523481458965,159.39566040039062,-0.7463758219291257,-2.1238323979431786,151.946998271943,-5.237869739532471,0.046702409337110784
-0.7811996927298175,-2.1653940438565864,152.3052978515625,-0.775185483971707,-2.1103672619303873,148.40611853334914,-12.095794677734375,0.05535447078727797
-0.8043266042367576,-2.167063534020161,150.2377471923828,-0.7760197225563671,-2.1028058670639087,156.46063629776032,-14.16396427154541,0.07021628951410269
