distanza_calcolata,distanza_reale,errore,tag_center_x,tag_center_y
0.45,0.36,0.09,167,185
0.43,0.37,0.06,123,196
0.43,0.38,0.05,94,206
0.43,0.39,0.04,56,220
0.85,0.62,0.23,76,24
0.7,0.52,0.18,19,92
0.65,0.49,0.16,54,99
0.63,0.46,0.17,78,107
0.59,0.43,0.16,108,119
0.55,0.39,0.16,131,131
0.52,0.35,0.17,160,147
0.48,0.32,0.16,188,166
0.43,0.27,0.16,216,187
0.38,0.24,0.14,243,210
0.35,0.21,0.14,270,238
0.3,0.18,0.12,291,262
0.26,0.15,0.11,312,288
0.22,0.13,0.09,332,318
0.19,0.1,0.09,357,358
0.19,0.07,0.12,387,415
0.49,0.4,0.09,31,210
0.49,0.39,0.1,63,197
0.5,0.37,0.13,93,186
0.5,0.36,0.14,131,175
0.48,0.33,0.15,127,193
0.42,0.33,0.09,83,236
0.39,0.32,0.07,46,275
0.3,0.23,0.07,41,407
0.28,0.23,0.05,70,388
0.28,0.25,0.03,67,391
0.3,0.26,0.04,37,411
0.3,0.24,0.06,40,415
0.39,0.33,0.06,613,281
0.39,0.32,0.07,584,265
0.41,0.31,0.1,541,245
0.41,0.3,0.11,506,231
0.42,0.3,0.12,464,218
0.42,0.3,0.12,430,209
0.43,0.3,0.13,396,203
0.46,0.3,0.16,361,198
0.46,0.3,0.16,328,196
0.43,0.3,0.13,293,196
0.41,0.3,0.11,260,198
0.41,0.31,0.1,225,202
0.39,0.32,0.07,191,208
0.38,0.33,0.05,156,216
0.38,0.34,0.04,121,227
0.38,0.34,0.04,86,239
0.36,0.32,0.04,49,258
0.87,0.57,0.3,456,16
0.8,0.5,0.3,461,40
0.72,0.46,0.26,467,67
0.64,0.41,0.23,473,95
0.58,0.37,0.21,479,127
0.49,0.34,0.15,486,160
0.43,0.31,0.12,492,190
0.36,0.27,0.09,501,230
0.3,0.22,0.08,510,274
0.26,0.2,0.06,521,323
0.24,0.18,0.06,532,378
0.24,0.17,0.07,545,440
0.78,0.6,0.18,16,69
0.78,0.6,0.18,62,54
0.8,0.59,0.21,107,43
0.83,0.58,0.25,160,33
0.84,0.58,0.26,204,26
0.86,0.58,0.28,246,23
0.86,0.58,0.28,289,21
0.88,0.58,0.3,331,21
0.86,0.58,0.28,365,22
0.86,0.58,0.28,400,25
0.85,0.58,0.27,442,30
0.84,0.59,0.25,477,36
0.81,0.59,0.22,521,45
0.8,0.6,0.2,566,57
0.77,0.61,0.16,612,71
0.57,0.46,0.11,589,144
0.59,0.46,0.13,548,130
0.62,0.45,0.17,507,118
0.63,0.45,0.18,467,108
0.65,0.45,0.2,427,100
0.68,0.45,0.23,388,95
0.69,0.45,0.24,356,92
0.71,0.45,0.26,317,91
0.71,0.45,0.26,286,91
0.7,0.46,0.24,247,94
0.69,0.46,0.23,207,98
0.66,0.47,0.19,168,104
0.64,0.48,0.16,127,113
0.63,0.49,0.14,78,127
0.6,0.5,0.1,28,144
0.63,0.47,0.16,55,134
0.64,0.47,0.17,94,121
0.65,0.46,0.19,125,112
0.66,0.46,0.2,165,104
0.68,0.45,0.23,205,97
0.7,0.45,0.25,245,93
0.71,0.45,0.26,292,90
0.71,0.45,0.26,323,90
0.7,0.45,0.25,354,91
0.68,0.45,0.23,393,95
0.65,0.46,0.19,433,100
0.63,0.46,0.17,473,108
0.6,0.47,0.13,521,120
0.58,0.46,0.12,563,133
0.55,0.44,0.11,608,159
0.88,0.55,0.33,234,19
0.79,0.51,0.28,179,48
0.72,0.49,0.23,132,76
0.65,0.47,0.18,83,109
0.57,0.46,0.11,33,147
0.39,0.35,0.04,22,260
0.38,0.34,0.04,57,241
0.39,0.33,0.06,94,227
0.39,0.32,0.07,137,213
0.41,0.32,0.09,172,203
0.41,0.31,0.1,207,196
0.42,0.31,0.11,242,191
0.43,0.31,0.12,276,188
0.45,0.31,0.14,310,187
0.45,0.31,0.14,345,188
0.45,0.31,0.14,379,192
0.45,0.32,0.13,414,197
0.43,0.3,0.13,449,204
0.39,0.27,0.12,483,226
0.35,0.26,0.09,523,271
0.31,0.26,0.05,553,309
0.3,0.26,0.04,591,364
0.6,0.5,0.1,610,128
0.62,0.5,0.12,567,112
0.64,0.49,0.15,525,100
0.65,0.49,0.16,492,91
0.69,0.48,0.21,451,83
0.7,0.48,0.22,410,76
0.71,0.48,0.23,369,72
0.73,0.49,0.24,330,70
0.73,0.49,0.24,289,70
0.75,0.49,0.26,249,72
0.72,0.48,0.24,209,76
0.7,0.44,0.26,167,87
0.63,0.39,0.24,146,118
0.55,0.36,0.19,138,151
0.48,0.32,0.16,130,187
0.42,0.28,0.14,121,227
0.36,0.24,0.12,110,271
0.31,0.23,0.08,99,320
0.28,0.2,0.08,86,374
0.28,0.19,0.09,72,435
0.42,0.38,0.04,597,219
0.43,0.37,0.06,558,203
0.45,0.36,0.09,520,189
0.46,0.36,0.1,483,177
0.48,0.36,0.12,446,168
0.49,0.36,0.13,409,161
0.52,0.36,0.16,373,156
0.54,0.36,0.18,330,153
0.55,0.36,0.19,287,153
0.54,0.37,0.17,250,155
0.53,0.35,0.18,214,159
0.49,0.33,0.16,177,172
0.43,0.31,0.12,135,210
0.39,0.3,0.09,92,253
0.35,0.3,0.05,38,316
0.42,0.38,0.04,580,207
0.45,0.37,0.08,535,189
0.46,0.37,0.09,504,179
0.48,0.36,0.12,467,168
0.49,0.36,0.13,430,160
0.52,0.35,0.17,393,154
0.53,0.33,0.2,365,153
0.49,0.29,0.2,366,167
0.41,0.27,0.14,400,198
0.35,0.25,0.1,426,226
0.3,0.23,0.07,459,265
0.26,0.21,0.05,486,301
0.24,0.21,0.03,520,350
0.24,0.21,0.03,555,407
0.79,0.56,0.23,606,62
0.77,0.52,0.25,573,71
0.7,0.49,0.21,582,99
0.63,0.49,0.14,593,131
0.6,0.5,0.1,613,146
0.69,0.52,0.17,41,87
0.65,0.47,0.18,72,97
0.62,0.45,0.17,103,108
0.57,0.39,0.18,138,125
0.54,0.36,0.18,167,141
0.5,0.31,0.19,196,160
0.45,0.28,0.17,224,181
0.39,0.25,0.14,251,205
0.35,0.2,0.15,290,244
0.3,0.16,0.14,317,276
0.24,0.13,0.11,343,312
0.28,0.11,0.17,369,353
0.22,0.08,0.14,389,390
0.6,0.5,0.1,610,140
0.54,0.43,0.11,33,173
0.55,0.43,0.12,74,158
0.57,0.42,0.15,113,146
0.59,0.41,0.18,160,134
0.6,0.41,0.19,199,127
0.62,0.41,0.21,237,122
0.63,0.41,0.22,283,119
0.63,0.41,0.22,307,118
0.63,0.41,0.22,263,120
0.6,0.42,0.18,225,124
0.59,0.43,0.16,187,129
0.58,0.43,0.15,148,137
0.57,0.44,0.13,117,145
0.55,0.45,0.1,77,157
0.54,0.46,0.08,45,169
0.38,0.28,0.1,595,286
0.33,0.26,0.07,571,304
0.3,0.22,0.08,548,325
0.26,0.18,0.08,526,348
0.24,0.15,0.09,505,375
0.22,0.12,0.1,485,405
0.19,0.1,0.09,471,432
0.87,0.6,0.27,597,37
0.84,0.57,0.27,557,43
0.81,0.52,0.29,519,51
0.77,0.49,0.28,488,60
0.73,0.45,0.28,451,72
0.72,0.42,0.3,413,87
0.66,0.39,0.27,376,105
0.62,0.35,0.27,339,126
0.55,0.3,0.25,303,151
0.46,0.28,0.18,266,179
0.41,0.26,0.15,236,205
0.33,0.24,0.09,199,241
0.28,0.23,0.05,162,283
0.26,0.22,0.04,124,332
0.26,0.22,0.04,85,389
0.28,0.14,0.14,120,454
0.22,0.13,0.09,146,442
0.17,0.12,0.05,170,430
0.17,0.11,0.06,194,421
0.17,0.1,0.07,223,412
0.14,0.09,0.05,248,407
0.14,0.08,0.06,276,403
0.14,0.08,0.06,301,402
0.14,0.09,0.05,329,403
0.14,0.09,0.05,349,405
0.14,0.1,0.04,368,408
0.17,0.11,0.06,392,414
0.17,0.11,0.06,416,421
0.17,0.12,0.05,440,431
0.19,0.13,0.06,459,440
0.6,0.43,0.17,616,155
0.55,0.38,0.17,583,165
0.52,0.35,0.17,545,180
0.46,0.31,0.15,515,195
0.42,0.29,0.13,485,213
0.38,0.26,0.12,469,230
0.33,0.25,0.08,500,270
0.3,0.24,0.06,537,318
0.28,0.24,0.04,573,372
0.5,0.41,0.09,28,199
0.52,0.38,0.14,75,181
0.52,0.35,0.17,112,171
0.48,0.32,0.16,141,187
0.43,0.27,0.16,171,207
0.38,0.24,0.14,199,230
0.31,0.19,0.12,229,261
0.26,0.16,0.1,253,291
0.22,0.11,0.11,281,332
0.17,0.06,0.11,308,379
0.55,0.42,0.13,599,151
0.52,0.38,0.14,566,161
0.46,0.34,0.12,528,177
0.43,0.3,0.13,497,193
0.41,0.27,0.14,473,208
0.36,0.24,0.12,444,230
0.33,0.19,0.14,415,254
0.28,0.16,0.12,381,288
0.24,0.11,0.13,349,329
0.19,0.06,0.13,323,367
0.19,0.03,0.16,298,411
0.5,0.41,0.09,47,191
0.52,0.4,0.12,84,177
0.53,0.39,0.14,122,165
0.54,0.39,0.15,160,155
0.57,0.38,0.19,212,145
0.58,0.38,0.2,249,141
0.59,0.38,0.21,286,139
0.57,0.38,0.19,330,138
0.55,0.38,0.17,360,140
0.53,0.38,0.15,397,144
0.52,0.39,0.13,434,150
0.49,0.39,0.1,471,159
0.48,0.4,0.08,509,169
0.46,0.41,0.05,548,182
0.45,0.41,0.04,587,198
0.5,0.4,0.1,613,194
0.88,0.54,0.34,235,21
0.81,0.52,0.29,190,45
0.75,0.5,0.25,143,72
0.68,0.48,0.2,94,104
0.62,0.46,0.16,55,133
0.48,0.41,0.07,26,200
0.48,0.4,0.08,65,183
0.48,0.39,0.09,97,173
0.49,0.39,0.1,133,161
0.5,0.39,0.11,160,154
0.52,0.39,0.13,200,145
0.54,0.38,0.16,240,139
0.57,0.38,0.19,273,135
0.59,0.38,0.21,310,134
0.6,0.38,0.22,347,135
0.58,0.38,0.2,391,139
0.59,0.38,0.21,387,139
0.59,0.38,0.21,355,137
0.59,0.38,0.21,322,137
0.57,0.38,0.19,290,138
0.55,0.38,0.17,257,141
0.53,0.38,0.15,230,144
0.52,0.39,0.13,197,149
0.49,0.4,0.09,162,157
0.49,0.4,0.09,131,165
0.48,0.41,0.07,103,173
0.48,0.42,0.06,73,184
0.46,0.43,0.03,34,199
0.86,0.55,0.31,170,31
0.77,0.53,0.24,111,64
0.7,0.51,0.19,61,97
0.83,0.64,0.19,28,41
0.85,0.64,0.21,74,29
0.86,0.63,0.23,120,18
0.86,0.54,0.32,242,26
0.78,0.5,0.28,197,49
0.7,0.47,0.23,150,77
0.62,0.43,0.19,114,108
0.54,0.39,0.15,105,140
0.48,0.36,0.12,95,175
0.41,0.32,0.09,85,214
0.36,0.28,0.08,73,256
0.31,0.26,0.05,60,303
0.28,0.24,0.04,42,367
0.88,0.53,0.35,323,25
0.85,0.49,0.36,289,39
0.77,0.47,0.3,246,62
0.71,0.44,0.27,212,82
0.65,0.41,0.24,177,104
0.57,0.4,0.17,132,137
0.5,0.38,0.12,85,175
0.43,0.38,0.05,38,219
0.43,0.35,0.08,56,236
0.43,0.34,0.09,92,222
0.45,0.33,0.12,128,209
0.45,0.33,0.12,157,201
0.45,0.32,0.13,193,193
0.46,0.32,0.14,227,187
0.49,0.29,0.2,262,184
0.46,0.22,0.24,295,201
0.33,0.18,0.15,294,242
0.22,0.1,0.12,291,327
0.42,0.39,0.03,43,222
0.46,0.37,0.09,50,217
0.46,0.37,0.09,88,202
0.48,0.36,0.12,122,190
0.49,0.36,0.13,155,180
0.49,0.35,0.14,187,172
0.52,0.35,0.17,220,165
0.53,0.35,0.18,252,160
0.55,0.35,0.2,288,158
0.55,0.35,0.2,323,158
0.5,0.35,0.15,367,161
0.48,0.35,0.13,410,166
0.46,0.36,0.1,453,175
0.45,0.37,0.08,490,185
0.43,0.37,0.06,534,200
0.43,0.38,0.05,572,215
0.42,0.39,0.03,611,232
0.84,0.56,0.28,526,36
0.76,0.51,0.25,535,62
0.68,0.47,0.21,544,90
0.63,0.43,0.2,553,121
0.57,0.39,0.18,564,154
0.49,0.37,0.12,575,191
0.42,0.32,0.1,588,231
0.39,0.3,0.09,601,275
0.36,0.28,0.08,616,325
0.31,0.23,0.08,40,396
0.83,0.63,0.2,582,36
0.85,0.63,0.22,526,22
0.87,0.61,0.26,481,12
0.88,0.57,0.31,446,13
0.8,0.55,0.25,489,39
0.75,0.53,0.22,524,61
0.68,0.5,0.18,569,93
0.62,0.49,0.13,616,128
0.52,0.4,0.12,614,195
0.33,0.25,0.08,599,312
0.3,0.23,0.07,572,336
0.26,0.19,0.07,550,358
0.24,0.17,0.07,531,383
0.22,0.14,0.08,512,412
0.22,0.12,0.1,495,444
0.83,0.64,0.19,588,37
0.85,0.63,0.22,541,25
0.87,0.63,0.24,496,15
0.87,0.65,0.22,134,13
0.86,0.66,0.2,88,23
0.84,0.66,0.18,51,32
0.87,0.63,0.24,55,21
0.83,0.59,0.24,89,28
0.8,0.54,0.26,123,38
0.77,0.51,0.26,157,49
0.72,0.47,0.25,190,62
0.69,0.42,0.27,229,81
0.64,0.39,0.25,269,103
0.59,0.35,0.24,301,124
0.55,0.32,0.23,333,149
0.5,0.27,0.23,366,177
0.41,0.25,0.16,405,215
0.35,0.23,0.12,438,252
0.3,0.21,0.09,471,294
0.28,0.2,0.08,511,353
0.28,0.2,0.08,545,409
0.9,0.55,0.35,236,14
0.87,0.53,0.34,272,28
0.81,0.49,0.32,301,42
0.78,0.47,0.31,330,57
0.69,0.41,0.28,380,89
0.6,0.38,0.22,417,115
0.53,0.36,0.17,455,145
0.46,0.34,0.12,493,179
0.39,0.32,0.07,532,218
0.35,0.31,0.04,572,263
0.33,0.3,0.03,613,315
0.91,0.68,0.23,20,20
0.28,0.23,0.05,34,373
0.26,0.2,0.06,49,398
0.24,0.18,0.06,65,432
0.6,0.5,0.1,26,126
0.62,0.49,0.13,69,112
0.64,0.49,0.15,111,100
0.65,0.48,0.17,152,90
0.68,0.48,0.2,201,82
0.7,0.48,0.22,241,78
0.71,0.48,0.23,281,75
0.72,0.48,0.24,321,75
0.72,0.48,0.24,361,76
0.71,0.48,0.23,409,81
0.69,0.49,0.2,458,89
0.66,0.49,0.17,498,98
0.65,0.5,0.15,536,107
0.64,0.51,0.13,579,121
0.42,0.36,0.06,604,240
0.42,0.35,0.07,566,223
0.42,0.35,0.07,529,208
0.43,0.34,0.09,485,193
0.45,0.34,0.11,449,184
0.46,0.34,0.12,413,176
0.48,0.33,0.15,370,170
0.5,0.34,0.16,335,168
0.5,0.34,0.16,300,167
0.5,0.34,0.16,264,169
0.48,0.31,0.17,229,173
0.42,0.29,0.13,190,201
0.36,0.27,0.09,150,240
0.33,0.26,0.07,118,276
0.3,0.26,0.04,85,317
0.3,0.26,0.04,51,362
0.45,0.37,0.08,587,220
0.45,0.36,0.09,549,204
0.46,0.36,0.1,511,191
0.48,0.35,0.13,475,180
0.49,0.35,0.14,445,172
0.5,0.35,0.15,409,165
0.52,0.35,0.17,373,161
0.55,0.35,0.2,337,158
0.53,0.35,0.18,301,157
0.5,0.36,0.14,266,159
0.49,0.35,0.14,222,163
0.46,0.32,0.14,186,172
0.41,0.26,0.15,159,207
0.35,0.24,0.11,152,249
0.28,0.2,0.08,143,295
0.24,0.18,0.06,133,346
0.22,0.16,0.06,122,403
0.85,0.56,0.29,512,36
0.77,0.55,0.22,557,65
0.71,0.52,0.19,604,98
0.68,0.53,0.15,591,90
0.68,0.53,0.15,557,87
0.69,0.52,0.17,516,77
0.7,0.52,0.18,477,68
0.73,0.52,0.21,435,61
0.75,0.52,0.23,394,56
0.76,0.52,0.24,353,52
0.77,0.52,0.25,312,51
0.77,0.52,0.25,270,52
0.76,0.53,0.23,221,56
0.75,0.54,0.21,179,62
0.72,0.54,0.18,137,69
0.71,0.55,0.16,103,77
0.69,0.56,0.13,60,89
0.69,0.54,0.15,36,96
0.71,0.53,0.18,89,80
0.73,0.53,0.2,132,70
0.73,0.52,0.21,174,62
0.76,0.52,0.24,216,56
0.76,0.52,0.24,257,53
0.77,0.52,0.25,295,51
0.77,0.52,0.25,339,50
0.76,0.52,0.24,376,52
0.75,0.53,0.22,413,55
0.73,0.53,0.2,457,60
0.71,0.54,0.17,494,67
0.69,0.54,0.15,547,80
0.66,0.48,0.18,574,94
0.63,0.44,0.19,537,106
0.59,0.4,0.19,502,118
0.54,0.36,0.18,461,135
0.52,0.32,0.2,428,153
0.48,0.28,0.2,394,174
0.43,0.25,0.18,361,199
0.38,0.21,0.17,329,226
0.33,0.18,0.15,297,258
0.28,0.16,0.12,271,287
0.24,0.13,0.11,240,328
0.22,0.13,0.09,209,375
0.24,0.13,0.11,178,429
0.84,0.55,0.29,144,33
0.76,0.51,0.25,137,58
0.68,0.45,0.23,130,86
0.62,0.42,0.2,121,117
0.54,0.39,0.15,114,143
0.48,0.35,0.13,107,171
0.43,0.33,0.1,99,202
0.36,0.29,0.07,85,251
0.3,0.26,0.04,70,308
0.28,0.23,0.05,59,350
0.26,0.23,0.03,44,407
0.7,0.53,0.17,33,86
0.65,0.48,0.17,70,97
0.62,0.44,0.18,100,108
0.58,0.41,0.17,136,125
0.53,0.36,0.17,171,144
0.49,0.3,0.19,199,163
0.43,0.26,0.17,233,190
0.39,0.23,0.16,261,215
0.33,0.18,0.15,288,243
0.28,0.16,0.12,315,275
0.24,0.12,0.12,341,311
0.19,0.1,0.09,366,352
0.19,0.08,0.11,392,399
0.36,0.27,0.09,592,288
0.33,0.25,0.08,568,306
0.28,0.21,0.07,545,327
0.26,0.17,0.09,523,351
0.22,0.14,0.08,502,378
0.19,0.11,0.08,483,409
0.24,0.09,0.15,463,450
0.86,0.66,0.2,46,25
0.88,0.66,0.22,88,14
0.86,0.58,0.28,178,14
0.79,0.56,0.23,128,40
0.72,0.54,0.18,78,70
0.65,0.52,0.13,25,106
0.48,0.35,0.13,600,212
0.43,0.32,0.11,571,225
0.41,0.29,0.12,544,241
0.36,0.25,0.11,517,260
0.31,0.2,0.11,491,281
0.26,0.17,0.09,466,306
0.22,0.12,0.1,437,340
0.19,0.1,0.09,414,373
0.17,0.05,0.12,397,403
0.86,0.58,0.28,150,23
0.8,0.56,0.24,100,51
0.71,0.54,0.17,48,84
0.26,0.19,0.07,58,440
0.24,0.18,0.06,90,419
0.22,0.17,0.05,117,403
0.19,0.16,0.03,144,390
0.19,0.15,0.04,171,379
0.17,0.14,0.03,198,371
0.17,0.13,0.04,229,362
0.17,0.12,0.05,255,358
0.17,0.09,0.08,279,355
0.14,0.0,0.14,294,402
0.55,0.43,0.12,28,151
0.52,0.4,0.12,55,163
0.48,0.37,0.11,82,177
0.43,0.32,0.11,108,193
0.39,0.29,0.1,133,211
0.36,0.26,0.1,158,232
0.31,0.22,0.09,182,255
0.28,0.18,0.1,205,282
0.24,0.15,0.09,228,312
0.19,0.09,0.1,249,345
0.17,0.07,0.1,270,383
0.35,0.28,0.07,24,293
0.31,0.26,0.05,46,311
0.28,0.23,0.05,67,333
0.26,0.2,0.06,84,357
0.24,0.17,0.07,104,390
0.22,0.14,0.08,121,428
0.81,0.59,0.22,538,32
0.75,0.56,0.19,585,62
0.49,0.42,0.07,25,185
0.52,0.42,0.1,63,171
0.53,0.41,0.12,99,158
0.53,0.41,0.12,127,149
0.54,0.4,0.14,164,140
0.57,0.4,0.17,203,133
0.58,0.39,0.19,240,128
0.59,0.39,0.2,278,125
0.6,0.39,0.21,315,124
0.59,0.39,0.2,353,126
0.58,0.4,0.18,391,130
0.55,0.4,0.15,426,134
0.54,0.41,0.13,460,140
0.53,0.41,0.12,497,149
0.52,0.42,0.1,536,161
0.52,0.43,0.09,568,172
0.49,0.44,0.05,608,189
0.5,0.42,0.08,583,174
0.52,0.41,0.11,543,159
0.53,0.41,0.12,504,147
0.54,0.42,0.12,493,144
0.53,0.43,0.1,532,155
0.5,0.44,0.06,580,173
0.46,0.37,0.09,24,209
0.41,0.33,0.08,53,227
0.38,0.3,0.08,72,241
0.35,0.27,0.08,94,260
0.3,0.24,0.06,116,281
0.26,0.19,0.07,138,305
0.22,0.16,0.06,136,362
0.22,0.15,0.07,125,421
0.53,0.46,0.07,29,161
0.54,0.45,0.09,69,146
0.55,0.44,0.11,102,136
0.57,0.44,0.13,133,128
0.59,0.43,0.16,181,118
0.62,0.43,0.19,220,112
0.63,0.42,0.21,266,107
0.64,0.42,0.22,305,106
0.65,0.43,0.22,350,108
0.64,0.43,0.21,396,112
0.62,0.43,0.19,443,119
0.59,0.44,0.15,482,127
0.58,0.45,0.13,522,138
0.57,0.46,0.11,562,151
0.55,0.47,0.08,603,167
0.87,0.53,0.34,194,23
0.79,0.49,0.3,190,48
0.71,0.45,0.26,184,75
0.65,0.41,0.24,180,98
0.57,0.37,0.2,174,130
0.5,0.32,0.18,169,157
0.42,0.29,0.13,162,194
0.35,0.25,0.1,154,234
0.28,0.22,0.06,145,279
0.24,0.18,0.06,136,328
0.22,0.17,0.05,125,384
0.24,0.16,0.08,113,446
0.83,0.59,0.24,84,36
0.76,0.58,0.18,31,69
0.81,0.61,0.2,34,41
0.79,0.57,0.22,70,48
0.76,0.53,0.23,97,56
0.72,0.49,0.23,129,66
0.69,0.45,0.24,161,79
0.65,0.42,0.23,193,94
0.6,0.39,0.21,225,111
0.57,0.35,0.22,256,131
0.53,0.31,0.22,286,154
0.49,0.26,0.23,323,185
0.42,0.24,0.18,354,215
0.33,0.2,0.13,390,256
0.28,0.18,0.1,421,295
0.24,0.16,0.08,457,350
0.24,0.16,0.08,487,402
0.45,0.37,0.08,58,220
0.46,0.35,0.11,117,198
0.48,0.34,0.14,176,183
0.5,0.33,0.17,240,172
0.5,0.33,0.17,304,169
0.48,0.34,0.14,367,171
0.45,0.34,0.11,424,180
0.42,0.35,0.07,482,194
0.41,0.37,0.04,548,217
0.39,0.38,0.01,615,249
0.45,0.36,0.09,62,221
0.46,0.35,0.11,114,202
0.46,0.34,0.12,158,190
0.49,0.33,0.16,215,178
0.5,0.33,0.17,272,172
0.49,0.33,0.16,335,172
0.46,0.34,0.12,392,177
0.42,0.34,0.08,456,189
0.41,0.36,0.05,513,207
0.39,0.37,0.02,580,233
0.41,0.36,0.05,601,238
0.41,0.35,0.06,541,212
0.43,0.34,0.09,483,192
0.45,0.34,0.11,432,179
0.48,0.34,0.14,375,170
0.53,0.34,0.19,311,166
0.52,0.34,0.18,248,169
0.49,0.36,0.13,195,178
0.48,0.37,0.11,137,192
0.45,0.38,0.07,71,214
0.35,0.28,0.07,48,286
0.28,0.23,0.05,80,320
0.24,0.18,0.06,108,360
0.22,0.13,0.09,137,415
0.5,0.42,0.08,64,171
0.53,0.41,0.12,118,153
0.54,0.41,0.13,152,144
0.55,0.4,0.15,193,134
0.59,0.4,0.19,247,126
0.63,0.4,0.23,300,121
0.64,0.4,0.24,362,122
0.62,0.41,0.21,415,128
0.58,0.41,0.17,476,141
0.55,0.42,0.13,523,154
0.53,0.43,0.1,579,173
0.55,0.45,0.1,588,150
0.49,0.41,0.08,614,188
0.33,0.26,0.07,593,311
0.28,0.21,0.07,552,348
0.22,0.15,0.07,516,394
0.22,0.1,0.12,485,452
0.88,0.64,0.24,572,25
0.83,0.55,0.28,105,39
0.68,0.48,0.2,89,88
0.57,0.48,0.09,73,133
0.3,0.23,0.07,585,344
0.24,0.19,0.05,549,386
0.22,0.14,0.08,523,425
0.31,0.25,0.06,596,334
0.26,0.19,0.07,558,373
0.22,0.15,0.07,522,428
0.77,0.6,0.17,44,59
0.8,0.59,0.21,126,39
0.85,0.58,0.27,204,26
0.86,0.58,0.28,273,21
0.87,0.59,0.28,285,20
0.85,0.59,0.26,208,26
0.81,0.6,0.21,144,36
0.78,0.61,0.17,73,53
0.87,0.52,0.35,268,28
0.78,0.46,0.32,325,57
0.7,0.41,0.29,376,88
0.58,0.37,0.21,435,131
0.46,0.35,0.11,488,177
0.41,0.36,0.05,551,220
0.41,0.38,0.03,611,248
0.55,0.46,0.09,572,143
0.58,0.45,0.13,514,124
0.6,0.45,0.15,458,111
0.63,0.44,0.19,411,102
0.66,0.44,0.22,349,96
0.68,0.45,0.23,294,96
0.68,0.46,0.22,224,101
0.64,0.46,0.18,153,112
0.62,0.48,0.14,88,128
0.86,0.64,0.22,26,27
0.81,0.57,0.24,77,36
0.73,0.51,0.22,91,68
0.59,0.44,0.15,74,121
0.49,0.39,0.1,56,176
0.39,0.34,0.05,35,240
0.81,0.51,0.3,297,36
0.71,0.45,0.26,219,77
0.59,0.4,0.19,140,130
0.48,0.38,0.1,56,201
0.33,0.27,0.06,45,338
0.31,0.25,0.06,96,311
0.31,0.24,0.07,147,291
0.3,0.23,0.07,197,277
0.3,0.22,0.08,246,268
0.3,0.22,0.08,295,264
0.3,0.22,0.08,332,262
0.28,0.23,0.05,370,264
0.28,0.24,0.04,420,271
0.26,0.25,0.01,476,288
0.28,0.27,0.01,539,315
0.28,0.28,0.0,591,344
0.77,0.58,0.19,84,56
0.79,0.57,0.22,163,39
0.84,0.57,0.27,232,30
0.86,0.57,0.29,307,27
0.85,0.57,0.28,384,30
0.83,0.57,0.26,460,40
0.79,0.58,0.21,530,54
0.77,0.6,0.17,603,76
0.5,0.41,0.09,34,193
0.52,0.4,0.12,97,170
0.54,0.39,0.15,165,152
0.57,0.38,0.19,225,142
0.59,0.38,0.21,278,137
0.57,0.38,0.19,336,137
0.54,0.38,0.16,396,142
0.5,0.39,0.11,463,155
0.48,0.4,0.08,524,172
0.46,0.42,0.04,578,192
0.64,0.48,0.16,567,121
0.66,0.48,0.18,501,101
0.7,0.47,0.23,443,89
0.72,0.47,0.25,387,82
0.72,0.47,0.25,324,78
0.7,0.48,0.22,260,79
0.69,0.48,0.21,196,86
0.64,0.49,0.15,139,96
0.63,0.5,0.13,98,107
0.6,0.52,0.08,30,128
0.55,0.39,0.16,592,169
0.48,0.34,0.14,536,192
0.41,0.26,0.15,489,220
0.3,0.2,0.1,432,265
0.22,0.14,0.08,390,311
0.17,0.07,0.1,349,368
0.81,0.63,0.18,578,39
0.86,0.62,0.24,496,19
0.87,0.64,0.23,114,22
0.85,0.65,0.2,40,40
0.39,0.32,0.07,50,238
0.35,0.29,0.06,82,263
0.31,0.29,0.02,33,336
0.39,0.32,0.07,70,255
0.41,0.31,0.1,120,236
0.41,0.31,0.1,158,224
0.41,0.33,0.08,115,238
0.39,0.34,0.05,59,260
0.39,0.31,0.08,73,262
0.39,0.3,0.09,135,239
0.39,0.28,0.11,196,223
0.39,0.28,0.11,256,214
0.39,0.29,0.1,226,218
0.39,0.31,0.08,172,229
0.38,0.32,0.06,110,248
0.39,0.34,0.05,55,271
0.38,0.31,0.07,34,288
0.38,0.3,0.08,83,265
0.38,0.29,0.09,138,244
0.38,0.28,0.1,185,231
0.38,0.27,0.11,245,221
0.42,0.27,0.15,298,217
0.36,0.27,0.09,350,219
0.35,0.28,0.07,410,227
0.33,0.29,0.04,464,240
0.33,0.3,0.03,517,259
0.33,0.32,0.01,579,288
0.57,0.44,0.13,570,154
0.59,0.43,0.16,513,135
0.62,0.43,0.19,450,120
0.66,0.42,0.24,388,110
0.68,0.43,0.25,334,106
0.65,0.43,0.22,265,107
0.63,0.43,0.2,204,114
0.59,0.44,0.15,157,125
0.57,0.45,0.12,101,141
0.55,0.47,0.08,36,162
0.69,0.55,0.14,603,95
0.71,0.53,0.18,532,73
0.69,0.49,0.2,511,80
0.57,0.46,0.11,591,141
0.88,0.63,0.25,544,24
0.86,0.66,0.2,63,28
0.57,0.42,0.15,607,164
0.52,0.36,0.16,557,182
0.43,0.3,0.13,509,207
0.35,0.22,0.13,456,243
0.26,0.18,0.08,413,284
0.19,0.12,0.07,376,328
0.14,0.05,0.09,336,388
