distanza_calcolata,distanza_reale,errore,tag_center_x,tag_center_y
0.19,0.18,0.01,278,308
0.22,0.18,0.04,249,311
0.22,0.16,0.06,220,317
0.19,0.11,0.08,213,342
0.17,0.07,0.1,229,369
0.14,0.05,0.09,248,407
0.3,0.22,0.08,33,413
0.3,0.19,0.11,46,440
0.31,0.23,0.08,40,371
0.3,0.2,0.1,58,396
0.28,0.18,0.1,72,424
0.62,0.49,0.13,586,119
0.64,0.49,0.15,535,102
0.66,0.49,0.17,493,91
0.69,0.48,0.21,452,83
0.7,0.48,0.22,411,76
0.71,0.48,0.23,379,73
0.72,0.48,0.24,339,70
0.72,0.49,0.23,307,70
0.71,0.49,0.22,275,70
0.71,0.49,0.22,243,72
0.7,0.47,0.23,210,76
0.65,0.43,0.22,168,91
0.59,0.39,0.2,155,122
0.52,0.35,0.17,148,155
0.46,0.31,0.15,141,184
0.41,0.27,0.14,132,224
0.35,0.25,0.1,125,258
0.31,0.22,0.09,117,296
0.28,0.19,0.09,105,347
0.26,0.18,0.08,93,405
0.57,0.44,0.13,49,157
0.57,0.44,0.13,90,143
0.58,0.43,0.15,129,132
0.6,0.43,0.17,169,123
0.62,0.42,0.2,200,117
0.63,0.42,0.21,237,112
0.64,0.42,0.22,276,110
0.64,0.41,0.23,306,109
0.63,0.37,0.26,339,111
0.59,0.35,0.24,326,129
0.54,0.31,0.23,282,160
0.48,0.29,0.19,252,183
0.43,0.25,0.18,250,203
0.39,0.21,0.18,272,224
0.33,0.18,0.15,299,254
0.28,0.14,0.14,325,288
0.22,0.12,0.1,352,326
0.19,0.09,0.1,377,369
0.19,0.08,0.11,397,407
0.55,0.45,0.1,61,145
0.57,0.44,0.13,101,132
0.58,0.44,0.14,142,122
0.59,0.44,0.15,171,115
0.62,0.44,0.18,206,108
0.63,0.43,0.2,248,103
0.64,0.44,0.2,275,100
0.65,0.44,0.21,310,99
0.65,0.44,0.21,345,99
0.64,0.44,0.2,383,102
0.63,0.44,0.19,422,107
0.62,0.45,0.17,462,114
0.6,0.45,0.15,493,121
0.58,0.46,0.12,528,130
0.57,0.47,0.1,564,141
0.55,0.48,0.07,608,156
0.57,0.45,0.12,591,151
0.58,0.45,0.13,549,136
0.59,0.45,0.14,517,126
0.6,0.44,0.16,485,117
