YAW,real_orientation
-144.0951583446856,-148.67908552959574
-143.98098213147028,-148.67939257874212
-144.38149534529336,-148.67965903299185
-144.202837375797,-148.67928012399
-142.97938739692282,-148.67767193481268
-142.45627439109205,-148.68050213437922
-142.0545951328114,-148.67938841174657
-152.00229061185132,-148.68178793652294
-152.04931970569788,-148.68242728394395
-152.9457347293811,-148.690783418559
-152.4632241792949,-148.68983960865498
-152.81977919603395,-148.6880491440993
-152.96924786548286,-148.68706126644676
-153.59016548019403,-148.6811737586754
-99.7153382336035,-92.58594737505308
-97.08468894339934,-85.89969098604864
-94.84863773968169,-80.6992940530343
-94.03091082327064,-75.49894033615838
-56.511407178658054,-62.86924886818991
-53.75027769018406,-57.668732793133344
-49.88606859344705,-53.21124044304919
-46.61344163045522,-46.52510904954534
-41.98147734652735,-41.279665206971316
-37.98710993881301,-35.33802325834561
-33.86865554325121,-30.13771678397215
-28.1574381310396,-24.9374819625635
-23.65712049395491,-19.736994967484957
-18.810681353824773,-14.536755355412863
6.346724202753168,14.440932993132163
12.178593651010974,20.38437057799723
40.470905897956925,45.35327143024388
46.01821913584674,52.104127020616126
50.49633679195555,58.01124635484162
55.11187940623397,64.76219043979111
59.12396743148495,71.51328391879474
63.15304095984649,77.42026784049494
102.15292456082938,96.79846492420852
104.75575117014401,104.23436904058761
108.53064188701151,109.67792295498963
111.9849875658393,115.10160923802856
116.0418875638472,122.21521275157309
119.48330322905431,126.95732355085136
124.63435519067609,133.20096321719728
128.10544484312422,138.62430627386092
131.15895359222384,144.15527780447454
137.1680752145657,148.91293371817838
141.68814979733258,154.11299859012706
-180.0,-176.71607874193415
-174.1821875184828,-170.22469607227697
-167.40089103481975,-164.3176033530838
-160.90684817568896,-158.41042810212994
-154.66354162762013,-153.34730718756506
-149.55185420266585,-146.59648180430926
-143.65569032341762,-139.00143236513685
-137.8167111385504,-133.09438137105244
-132.84448003241505,-125.49954323771433
-127.95764738120232,-121.31950821301187
-124.51364320415023,-123.79485497458754
-126.97476859724233,-129.7037614098453
-131.9613200260511,-135.6117918643848
-170.5018931925163,-174.43516343560654
-176.19875177421835,177.9685888623833
178.66065256912714,172.90474981455966
171.92633589421072,164.46486210468962
166.73956469503884,160.24448703389046
161.15760273075279,153.49275812821287
157.21592039175397,148.42912653767775
136.21749882900212,140.8326056635334
131.34543278529952,135.76856881484144
125.79562864405439,128.17262823828386
121.20943360898998,121.42072628612618
116.12154152668778,114.66867016914081
112.46576314276396,108.76088436980254
108.06078375112668,102.85294607346111
104.93999341841365,96.10064814869023
100.85159768975808,91.03652528204375
97.85285422084074,83.44108411082429
95.50965578843362,78.37692105477493
46.33392352341297,44.498662505262516
50.423828550426684,48.213282024430264
55.276893002690535,54.156496371272034
60.07025481098223,60.842702582178894
65.10236901365705,65.3002462347717
69.18826271362634,71.24354726120978
72.33698293057456,77.92957483607282
75.3830722703943,81.64405405292135
78.96291791245459,86.11693761163795
142.9254514815865,151.87454861415017
148.30863337216965,157.07504616090586
-150.19699715192735,-143.5183949086496
-146.77725455681642,-136.77074823867537
-141.13783337426352,-131.24490668406904
-80.7992891190274,-88.90432213735546
-79.03581503547976,-82.9973693396886
-68.32924572461123,-63.16503547080065
-64.13604647379488,-57.221765965241964
-61.28720055032893,-51.27826098771767
-57.368734002267644,-46.077905751390546
-53.879124045753315,-41.36575614876596
-15.877243558789642,-10.196876564961023
-10.467488326224235,-4.9960665799782635
-3.954164132680619,0.94703199197327
16.871503369364518,18.77692698328646
23.318607989090186,24.720270576536862
29.261254461866393,30.663537586385505
35.32234081512839,37.349614217657525
40.81645537832701,42.549979354470125
45.369350580329375,47.75041399570005
50.83753724169273,53.69394274480401
-65.79642359684533,-61.406519480284274
-69.98000015469881,-68.54215539073854
-74.11580055042198,-74.88494997893861
-77.68753893402221,-78.84927978927661
-80.34949680834298,-86.77211816034561
-84.05645535166894,-91.26186628963093
-86.31715021462695,-96.57240284116764
-88.57089744380625,-102.36334364469661
-92.48030239494683,-109.11493935212408
-95.76181437986595,-115.86685868890123
-134.31175623653468,-130.673941816509
-130.8083684566223,-124.7306992507302
-127.49834890904862,-118.78114172053708
-123.30389220796128,-112.70599429903373
-119.1873639290931,-106.76295926785339
-61.17512569949136,-58.473680861184285
-58.170909877087446,-53.273391216528076
-54.428989948292205,-46.58711913784662
-50.141377668661676,-41.3442797298863
-45.21200373704807,-34.360660525295124
-4.1997191153780244,2.108957947690817
11.67371927017926,13.995443181464486
17.683339600782922,20.68171259723624
22.979312081991328,26.624946206908596
28.575178174378813,31.082477510575515
34.322416676890874,36.28286280126913
38.325850091631125,42.24607474875246
43.63252036358588,48.871879011285806
47.60312058040346,54.88018813762163
